               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10577,            0.036006,                   0,           0.0034444,             0.71676,           0.0093122,           0.0023137,            0.078954,            0.020206,                   0,              0.0712,              0.0032,              0.0032
                   1,            0.082248,             0.03702,                   0,             0.06298,            0.046243,            0.029533,           0.0068468,            0.072435,            0.018723,                   0,             0.04142,           0.0064196,           0.0064196
                   2,            0.072582,             0.04104,                   0,            0.041196,             0.25434,              0.0261,           0.0067823,            0.077077,            0.021098,                   0,            0.011557,           0.0095574,           0.0095574
                   3,            0.069858,             0.03993,                   0,            0.073174,             0.10983,            0.039705,            0.010388,            0.074178,            0.020965,                   0,           0.0096288,           0.0096288,           0.0096288
                   4,            0.065641,            0.039005,                   0,             0.10709,             0.15029,            0.063136,            0.015369,             0.06931,            0.024654,                   0,           0.0096288,           0.0096288,           0.0096288
                   5,            0.063418,            0.038307,                   0,            0.067503,             0.26012,            0.043798,            0.012669,            0.063051,            0.021592,                   0,            0.009505,            0.009505,            0.009505
                   6,            0.062132,            0.038287,                   0,             0.14082,             0.17919,            0.086837,            0.023161,            0.064616,            0.022157,                   0,           0.0093813,           0.0093813,           0.0093813
                   7,            0.060741,            0.037195,                   0,             0.18441,             0.20231,            0.090662,            0.025584,            0.063882,            0.019143,                   0,           0.0092575,           0.0092575,           0.0092575
                   8,            0.057505,            0.037508,                   0,             0.17618,             0.13873,            0.081119,            0.025945,            0.067089,            0.019233,                   0,           0.0091337,           0.0091337,           0.0091337
                   9,            0.055853,             0.03608,                   0,             0.18999,             0.25434,             0.12969,            0.033539,            0.061685,            0.018548,                   0,             0.00901,             0.00901,             0.00901
                  10,            0.057191,            0.037231,                   0,             0.17558,             0.19653,            0.096281,            0.027656,            0.062435,            0.020471,                   0,           0.0088863,           0.0088863,           0.0088863
                  11,            0.053737,            0.035677,                   0,             0.10666,             0.23699,            0.064956,            0.016171,            0.061642,            0.021125,                   0,           0.0087625,           0.0087625,           0.0087625
                  12,            0.053535,            0.036742,                   0,             0.17314,             0.15607,             0.09295,            0.026703,            0.066481,            0.018502,                   0,           0.0086388,           0.0086388,           0.0086388
                  13,             0.05169,            0.035724,                   0,             0.15857,             0.19653,            0.083122,            0.023652,            0.065699,            0.019065,                   0,            0.008515,            0.008515,            0.008515
                  14,            0.053245,            0.034064,                   0,             0.12547,              0.2007,            0.075657,            0.022505,            0.065584,            0.019748,                   0,           0.0083913,           0.0083913,           0.0083913
                  15,            0.051894,            0.034254,                   0,             0.20358,             0.13873,             0.10906,            0.032654,            0.065462,            0.018695,                   0,           0.0082675,           0.0082675,           0.0082675
                  16,             0.04939,              0.0343,                   0,              0.1888,             0.15029,            0.075942,            0.026684,            0.063735,            0.020068,                   0,           0.0081437,           0.0081437,           0.0081437
                  17,              0.0492,            0.033048,                   0,              0.1377,             0.17919,            0.076131,            0.023131,            0.065222,            0.020963,                   0,             0.00802,             0.00802,             0.00802
                  18,            0.048043,            0.032258,                   0,             0.17574,             0.18497,             0.09087,            0.031103,            0.061735,            0.019736,                   0,           0.0078963,           0.0078963,           0.0078963
                  19,              0.0486,            0.033257,                   0,             0.12704,             0.20809,            0.083007,             0.02223,            0.066238,            0.021812,                   0,           0.0077725,           0.0077725,           0.0077725
                  20,            0.046002,            0.031886,                   0,              0.3315,             0.16185,             0.12997,            0.032198,            0.063031,            0.020488,                   0,           0.0076488,           0.0076488,           0.0076488
                  21,            0.046891,            0.030397,                   0,             0.18838,             0.23613,             0.10634,            0.028224,             0.06391,            0.020914,                   0,            0.007525,            0.007525,            0.007525
                  22,            0.045693,            0.031299,                   0,             0.15734,             0.28324,             0.12051,            0.038364,            0.062082,            0.019729,                   0,           0.0074013,           0.0074013,           0.0074013
                  23,            0.045259,            0.030282,                   0,             0.12113,             0.15029,            0.055663,            0.015503,            0.067523,            0.020941,                   0,           0.0072775,           0.0072775,           0.0072775
                  24,             0.04485,             0.03001,                   0,             0.12767,             0.10405,            0.047043,            0.014164,            0.067951,            0.022456,                   0,           0.0071538,           0.0071538,           0.0071538
                  25,            0.043109,            0.029795,                   0,             0.15175,             0.17341,            0.065568,            0.015864,            0.066888,            0.020593,                   0,             0.00703,             0.00703,             0.00703
                  26,            0.042524,            0.027464,                   0,             0.12545,             0.22543,            0.084778,            0.024626,            0.064528,            0.020887,                   0,           0.0069063,           0.0069063,           0.0069063
                  27,            0.043677,            0.028776,                   0,             0.12671,             0.24855,            0.088139,            0.029253,            0.066349,            0.020819,                   0,           0.0067825,           0.0067825,           0.0067825
                  28,            0.042083,            0.027187,                   0,             0.10414,             0.21965,            0.072623,             0.02143,            0.066284,            0.020582,                   0,           0.0066587,           0.0066587,           0.0066587
                  29,            0.042642,            0.027356,                   0,             0.18955,             0.16185,            0.075945,            0.022699,            0.066238,             0.02082,                   0,            0.006535,            0.006535,            0.006535
                  30,            0.040995,            0.027156,                   0,             0.16751,             0.21965,             0.11176,            0.030142,            0.063314,            0.021943,                   0,           0.0064112,           0.0064112,           0.0064112
                  31,            0.039833,            0.027066,                   0,            0.085888,             0.20231,            0.043098,            0.013434,            0.065994,            0.021828,                   0,           0.0062875,           0.0062875,           0.0062875
                  32,            0.040962,            0.026502,                   0,             0.15959,             0.15607,            0.053505,            0.014871,            0.066316,            0.021415,                   0,           0.0061637,           0.0061637,           0.0061637
                  33,            0.039679,            0.027114,                   0,             0.14957,             0.10983,            0.055326,            0.016315,            0.066447,            0.021864,                   0,             0.00604,             0.00604,             0.00604
                  34,            0.038514,            0.025106,                   0,             0.10318,             0.17919,            0.050368,            0.014556,            0.068765,            0.021824,                   0,           0.0059163,           0.0059163,           0.0059163
                  35,            0.039238,              0.0263,                   0,             0.18088,             0.22543,            0.097868,            0.030282,            0.067044,            0.021523,                   0,           0.0057925,           0.0057925,           0.0057925
                  36,            0.038459,             0.02576,                   0,             0.17262,             0.23121,            0.086476,            0.021965,            0.069407,            0.022034,                   0,           0.0056688,           0.0056688,           0.0056688
                  37,            0.037613,             0.02541,                   0,              0.1955,             0.17919,            0.086052,            0.024024,            0.066773,            0.022662,                   0,            0.005545,            0.005545,            0.005545
                  38,            0.038598,            0.024922,                   0,             0.19078,             0.19079,            0.085693,            0.026163,            0.065938,             0.02196,                   0,           0.0054212,           0.0054212,           0.0054212
                  39,            0.036758,            0.024589,                   0,             0.16932,             0.17919,            0.075004,            0.023645,            0.066222,            0.022087,                   0,           0.0052975,           0.0052975,           0.0052975
                  40,            0.036275,            0.024154,                   0,             0.16243,             0.12717,            0.066022,            0.019856,            0.069613,            0.022597,                   0,           0.0051737,           0.0051737,           0.0051737
                  41,            0.036419,            0.024477,                   0,             0.16875,             0.19075,            0.086933,            0.026578,            0.067276,            0.022789,                   0,             0.00505,             0.00505,             0.00505
                  42,            0.035687,            0.023817,                   0,             0.16957,             0.17341,            0.075595,            0.023887,            0.066648,            0.022445,                   0,           0.0049263,           0.0049263,           0.0049263
                  43,            0.036194,            0.023875,                   0,             0.22404,             0.15029,            0.082348,            0.021209,            0.066545,            0.022818,                   0,           0.0048025,           0.0048025,           0.0048025
                  44,            0.034184,            0.023254,                   0,             0.13858,             0.20809,            0.079995,            0.020269,            0.066012,            0.023373,                   0,           0.0046788,           0.0046788,           0.0046788
                  45,            0.034344,             0.02284,                   0,             0.11507,             0.16185,            0.062759,            0.016326,            0.067361,             0.02289,                   0,            0.004555,            0.004555,            0.004555
                  46,            0.034098,            0.022018,                   0,             0.17328,            0.098266,            0.057506,            0.018004,             0.06711,            0.022953,                   0,           0.0044313,           0.0044313,           0.0044313
                  47,            0.032943,            0.023402,                   0,             0.13917,             0.17569,             0.08071,            0.027685,             0.06732,            0.023259,                   0,           0.0043075,           0.0043075,           0.0043075
                  48,              0.0323,            0.021683,                   0,             0.11716,             0.17341,            0.068562,            0.023533,            0.068204,            0.023009,                   0,           0.0041837,           0.0041837,           0.0041837
                  49,            0.033525,            0.022998,                   0,             0.16738,             0.15607,            0.075105,            0.025493,            0.067798,            0.022747,                   0,             0.00406,             0.00406,             0.00406
                  50,            0.032115,            0.020839,                   0,              0.1919,             0.19075,            0.082683,            0.025305,            0.065686,            0.023483,                   0,           0.0039362,           0.0039362,           0.0039362
                  51,            0.031846,            0.021669,                   0,              0.1501,             0.20231,            0.071943,            0.021195,            0.067192,            0.023601,                   0,           0.0038125,           0.0038125,           0.0038125
                  52,            0.031615,            0.020833,                   0,             0.12306,             0.17341,            0.067307,            0.017928,            0.069347,            0.023704,                   0,           0.0036888,           0.0036888,           0.0036888
                  53,            0.031225,            0.020832,                   0,             0.15848,             0.17341,            0.075232,             0.02248,            0.068759,             0.02352,                   0,            0.003565,            0.003565,            0.003565
                  54,            0.030588,            0.020659,                   0,             0.15077,             0.18497,            0.085502,            0.024064,            0.066301,            0.024511,                   0,           0.0034413,           0.0034413,           0.0034413
                  55,            0.030826,            0.020233,                   0,             0.15211,             0.14451,            0.073708,            0.022808,            0.067416,            0.024141,                   0,           0.0033175,           0.0033175,           0.0033175
                  56,            0.030965,            0.019771,                   0,             0.14413,             0.16185,            0.067852,            0.021355,            0.068614,            0.023705,                   0,           0.0031938,           0.0031938,           0.0031938
                  57,            0.030656,             0.01948,                   0,             0.15343,             0.17341,            0.081871,            0.023509,            0.068848,            0.023451,                   0,             0.00307,             0.00307,             0.00307
                  58,            0.029626,            0.020581,                   0,             0.15386,             0.17919,            0.077563,            0.023975,            0.068149,            0.023997,                   0,           0.0029462,           0.0029462,           0.0029462
                  59,            0.029697,            0.019363,                   0,             0.13308,             0.19075,             0.08879,            0.027351,            0.067646,            0.023608,                   0,           0.0028225,           0.0028225,           0.0028225
                  60,            0.029873,            0.019831,                   0,             0.14061,             0.15029,            0.097497,            0.028223,            0.066831,            0.023926,                   0,           0.0026987,           0.0026987,           0.0026987
                  61,            0.029163,            0.019846,                   0,             0.23407,             0.15607,             0.11613,            0.034797,            0.065822,             0.02469,                   0,            0.002575,            0.002575,            0.002575
                  62,            0.029475,            0.020074,                   0,             0.17412,             0.16763,            0.095246,            0.028742,            0.066559,              0.0241,                   0,           0.0024513,           0.0024513,           0.0024513
                  63,            0.028827,            0.019316,                   0,             0.27949,             0.14451,            0.098976,            0.029231,            0.066706,            0.024036,                   0,           0.0023275,           0.0023275,           0.0023275
                  64,            0.027944,             0.01916,                   0,             0.18183,             0.18497,            0.088225,            0.023933,            0.067592,            0.024592,                   0,           0.0022038,           0.0022038,           0.0022038
                  65,             0.02811,            0.018678,                   0,             0.18095,             0.17341,            0.087913,            0.021455,            0.068835,            0.024644,                   0,             0.00208,             0.00208,             0.00208
                  66,            0.028393,            0.019464,                   0,             0.17835,             0.15029,            0.094034,            0.024355,            0.068657,            0.024388,                   0,           0.0019563,           0.0019563,           0.0019563
                  67,            0.027335,            0.018913,                   0,              0.2189,             0.17496,             0.10328,            0.030899,            0.068223,            0.024287,                   0,           0.0018325,           0.0018325,           0.0018325
                  68,            0.027334,             0.01775,                   0,             0.17642,             0.16185,            0.091861,            0.027961,            0.068223,            0.023993,                   0,           0.0017087,           0.0017087,           0.0017087
                  69,            0.027766,            0.017677,                   0,             0.28272,             0.14451,             0.10662,             0.02935,             0.06767,            0.024585,                   0,            0.001585,            0.001585,            0.001585
                  70,            0.026063,             0.01825,                   0,             0.15584,             0.16185,            0.078333,            0.024326,            0.067142,            0.024912,                   0,           0.0014612,           0.0014612,           0.0014612
                  71,              0.0273,            0.018491,                   0,             0.15792,             0.15029,            0.077782,            0.023356,            0.067862,            0.024689,                   0,           0.0013375,           0.0013375,           0.0013375
                  72,            0.026608,            0.018162,                   0,             0.16335,             0.17919,            0.080466,             0.02535,            0.067356,            0.024677,                   0,           0.0012138,           0.0012138,           0.0012138
                  73,            0.025891,            0.018066,                   0,             0.17701,             0.18497,            0.085843,            0.024711,            0.067299,            0.024578,                   0,             0.00109,             0.00109,             0.00109
                  74,            0.025326,            0.017752,                   0,              0.1963,             0.16763,            0.087155,            0.026508,            0.067281,            0.024759,                   0,          0.00096625,          0.00096625,          0.00096625
                  75,            0.025031,            0.016962,                   0,             0.19865,             0.16763,            0.090366,            0.028106,            0.067852,            0.024498,                   0,           0.0008425,           0.0008425,           0.0008425
                  76,            0.024537,            0.017447,                   0,             0.15985,             0.16185,            0.087287,            0.029541,            0.067126,            0.024485,                   0,          0.00071875,          0.00071875,          0.00071875
                  77,            0.025395,            0.017925,                   0,             0.17465,             0.18497,            0.084079,            0.027559,            0.067107,            0.024783,                   0,            0.000595,            0.000595,            0.000595
                  78,             0.02501,            0.016825,                   0,             0.16027,             0.15607,            0.086617,             0.03057,            0.067203,            0.024915,                   0,          0.00047125,          0.00047125,          0.00047125
                  79,            0.025199,            0.017872,                   0,             0.14435,             0.16185,            0.083991,            0.030719,            0.067205,            0.025071,                   0,           0.0003475,           0.0003475,           0.0003475
